title,fitness_category,tool,body_part,target,disease,youtube_id,youtube_url,thumb_url,page_no,rank_on_page
짐볼에 엎드려서 몸통 젖히기,근력/근지구력,짐볼,허리,성인,,YJ7f2VhN2kU,https://www.youtube.com/watch?v=YJ7f2VhN2kU,https://img.youtube.com/vi/YJ7f2VhN2kU/0.jpg,51,11
짐볼에 엎드려서 팔 다리 들기,근력/근지구력,짐볼,허리,성인,,FzxWC-OzyTw,https://www.youtube.com/watch?v=FzxWC-OzyTw,https://img.youtube.com/vi/FzxWC-OzyTw/0.jpg,51,12
엎드려 버티기,근력/근지구력,맨몸,복부,성인,,wCUWN9pYWHs,https://www.youtube.com/watch?v=wCUWN9pYWHs,https://img.youtube.com/vi/wCUWN9pYWHs/0.jpg,52,1
누워서 엉덩이 들어올리기,근력/근지구력,맨몸,허리,성인,,DeKWQmqn5gs,https://www.youtube.com/watch?v=DeKWQmqn5gs,https://img.youtube.com/vi/DeKWQmqn5gs/0.jpg,52,2
누워서 다리 들어올리기,근력/근지구력,맨몸,아랫복근,성인,,-LLOH8DA8no,https://www.youtube.com/watch?v=-LLOH8DA8no,https://img.youtube.com/vi/-LLOH8DA8no/0.jpg,52,3
옆으로 누워 버티기,근력/근지구력,맨몸,몸통,성인,,GZjyIs72fHY,https://www.youtube.com/watch?v=GZjyIs72fHY,https://img.youtube.com/vi/GZjyIs72fHY/0.jpg,52,4
네발기기 자세로 팔 다리 들기,근력/근지구력,맨몸,둔부,성인,,N6Zvq4CiQhU,https://www.youtube.com/watch?v=N6Zvq4CiQhU,https://img.youtube.com/vi/N6Zvq4CiQhU/0.jpg,52,5
소파를 이용한 윗몸올리기,근력/근지구력,맨몸,윗복근,성인,,4oEQWLBxA0Y,https://www.youtube.com/watch?v=4oEQWLBxA0Y,https://img.youtube.com/vi/4oEQWLBxA0Y/0.jpg,52,6
누워서 팔 다리 동시에 들어올리기,근력/근지구력,맨몸,복부,성인,,Az8Qi3u0oto,https://www.youtube.com/watch?v=Az8Qi3u0oto,https://img.youtube.com/vi/Az8Qi3u0oto/0.jpg,52,7
누워서 하늘 자전거,근력/근지구력,맨몸,복부,성인,,hCeAkSRq_Z0,https://www.youtube.com/watch?v=hCeAkSRq_Z0,https://img.youtube.com/vi/hCeAkSRq_Z0/0.jpg,52,8
누워서 다리 좌우로 움직이기,근력/근지구력,공,몸통,성인,,xLXh4HBHMzY,https://www.youtube.com/watch?v=xLXh4HBHMzY,https://img.youtube.com/vi/xLXh4HBHMzY/0.jpg,52,9
누워서 수직으로 다리 들어올리기,근력/근지구력,맨몸,복부,성인,,1tIDymPF7Yg,https://www.youtube.com/watch?v=1tIDymPF7Yg,https://img.youtube.com/vi/1tIDymPF7Yg/0.jpg,52,10
짐볼에 다리 올리고 엉덩이 들어올리기,근력/근지구력,짐볼,허리,성인,,oFQPeLxtosM,https://www.youtube.com/watch?v=oFQPeLxtosM,https://img.youtube.com/vi/oFQPeLxtosM/0.jpg,52,11
누워서 공들고 몸 기울이기,근력/근지구력,공,몸통,성인,,7aM-l7WPC-8,https://www.youtube.com/watch?v=7aM-l7WPC-8,https://img.youtube.com/vi/7aM-l7WPC-8/0.jpg,52,12
윗몸올리기,근력/근지구력,맨몸,윗복근,성인,,WHwrbWu3_U4,https://www.youtube.com/watch?v=WHwrbWu3_U4,https://img.youtube.com/vi/WHwrbWu3_U4/0.jpg,53,1
서서 뒤꿈치 들기,근력/근지구력,맨몸,종아리,성인,,PYYWmiTnsVM,https://www.youtube.com/watch?v=PYYWmiTnsVM,https://img.youtube.com/vi/PYYWmiTnsVM/0.jpg,53,2
서서 다리 뒤로 차기,근력/근지구력,의자,둔부,성인,,p0VzcuNRPrg,https://www.youtube.com/watch?v=p0VzcuNRPrg,https://img.youtube.com/vi/p0VzcuNRPrg/0.jpg,53,3
의자에 앉아 다리 뻗어 올리기,근력/근지구력,의자,허벅지앞쪽,성인,,Zktyx-jr63Q,https://www.youtube.com/watch?v=Zktyx-jr63Q,https://img.youtube.com/vi/Zktyx-jr63Q/0.jpg,53,4
짐볼 윗몸올리기,근력/근지구력,짐볼,윗복근,성인,,S3tRws2NRbk,https://www.youtube.com/watch?v=S3tRws2NRbk,https://img.youtube.com/vi/S3tRws2NRbk/0.jpg,53,5
누워서 배가로근 수축 II,근력/근지구력,맨몸,복부/허리,성인,,JoJOvbHDFqI,https://www.youtube.com/watch?v=JoJOvbHDFqI,https://img.youtube.com/vi/JoJOvbHDFqI/0.jpg,53,6
서서 다리로 탄력밴드 당기기 II,근력/근지구력,탄력밴드,허벅지내측/허벅지외측,성인,,rWS5lG2v3Pk,https://www.youtube.com/watch?v=rWS5lG2v3Pk,https://img.youtube.com/vi/rWS5lG2v3Pk/0.jpg,53,7
누워서 배가로근 수축 I,근력/근지구력,맨몸,복부,성인,,3nB0CYfN3Dk,https://www.youtube.com/watch?v=3nB0CYfN3Dk,https://img.youtube.com/vi/3nB0CYfN3Dk/0.jpg,53,8
서서 다리로 탄력밴드 당기기 I,근력/근지구력,탄력밴드,허벅지앞쪽/허벅지뒤쪽,성인,,IueiGEGnfho,https://www.youtube.com/watch?v=IueiGEGnfho,https://img.youtube.com/vi/IueiGEGnfho/0.jpg,53,9
앉아서 엉덩관절 굽히기,근력/근지구력,의자,허벅지,성인,,6mUrXxx2lKs,https://www.youtube.com/watch?v=6mUrXxx2lKs,https://img.youtube.com/vi/6mUrXxx2lKs/0.jpg,53,10
한발 서서 균형잡기,근력/근지구력,맨몸,하체,성인,,V6EbDxajDdQ,https://www.youtube.com/watch?v=V6EbDxajDdQ,https://img.youtube.com/vi/V6EbDxajDdQ/0.jpg,53,11
발등굽힘/발바닥굽힘,근력/근지구력,맨몸,종아리앞쪽/종아리뒤쪽,성인,,qxftJYWBzag,https://www.youtube.com/watch?v=qxftJYWBzag,https://img.youtube.com/vi/qxftJYWBzag/0.jpg,53,12
앉았다 일어서기,근력/근지구력,맨몸,허벅지,성인,,3ndW3_is8_o,https://www.youtube.com/watch?v=3ndW3_is8_o,https://img.youtube.com/vi/3ndW3_is8_o/0.jpg,54,1
한발 앞으로 내밀고 앉았다 일어서기,근력/근지구력,맨몸,/,성인,,szyKFpBZ1_4,https://www.youtube.com/watch?v=szyKFpBZ1_4,https://img.youtube.com/vi/szyKFpBZ1_4/0.jpg,54,2
서서 상체 일으키기,근력/근지구력,물병,허리,성인,,QXbUTYL5Fy4,https://www.youtube.com/watch?v=QXbUTYL5Fy4,https://img.youtube.com/vi/QXbUTYL5Fy4/0.jpg,54,3
윗몸 말아 올리기,근력/근지구력,보슈볼,복부,성인,,nyks6HqG8G4,https://www.youtube.com/watch?v=nyks6HqG8G4,https://img.youtube.com/vi/nyks6HqG8G4/0.jpg,54,4
의자 앞에서 앉았다 일어서기,근력/근지구력,의자,허벅지,성인,,hWMUixdVoLY,https://www.youtube.com/watch?v=hWMUixdVoLY,https://img.youtube.com/vi/hWMUixdVoLY/0.jpg,54,5
